TrackId,Name,Composer,Milliseconds,Bytes,UnitPrice,Title,ArtistName,MediaType,Genre,PlaylistName
24,"Love In An Elevator","Steven Tyler, Joe Perry",321828,10552051,0.99,Afrociberdelia,"Marcos Valle","MPEG audio file",Rock,"90’s Music"
24,"Love In An Elevator","Steven Tyler, Joe Perry",321828,10552051,0.99,Afrociberdelia,"Marcos Valle","MPEG audio file",Rock,Music
25,"Rag Doll","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99,"Da Lama Ao Caos","Milton Nascimento & Bebeto","MPEG audio file",Rock,Music
25,"Rag Doll","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99,"Da Lama Ao Caos","Milton Nascimento & Bebeto","MPEG audio file",Rock,"90’s Music"
25,"Rag Doll","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,0.99,"Da Lama Ao Caos","Milton Nascimento & Bebeto","MPEG audio file",Rock,Music
26,"What It Takes","Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99,"Acústico MTV [Live]",Azymuth,"MPEG audio file",Rock,Music
26,"What It Takes","Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99,"Acústico MTV [Live]",Azymuth,"MPEG audio file",Rock,"90’s Music"
26,"What It Takes","Steven Tyler, Joe Perry, Desmond Child",310622,10144730,0.99,"Acústico MTV [Live]",Azymuth,"MPEG audio file",Rock,Music
27,"Dude (Looks Like A Lady)","Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,"Cidade Negra - Hits","Gilberto Gil","MPEG audio file",Rock,Music
27,"Dude (Looks Like A Lady)","Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,"Cidade Negra - Hits","Gilberto Gil","MPEG audio file",Rock,"90’s Music"
27,"Dude (Looks Like A Lady)","Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,"Cidade Negra - Hits","Gilberto Gil","MPEG audio file",Rock,Music
28,"Janie's Got A Gun","Steven Tyler, Tom Hamilton",330736,10869391,0.99,"Na Pista","João Gilberto","MPEG audio file",Rock,Music
28,"Janie's Got A Gun","Steven Tyler, Tom Hamilton",330736,10869391,0.99,"Na Pista","João Gilberto","MPEG audio file",Rock,"90’s Music"
28,"Janie's Got A Gun","Steven Tyler, Tom Hamilton",330736,10869391,0.99,"Na Pista","João Gilberto","MPEG audio file",Rock,Music
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99,"Axé Bahia 2001","Bebel Gilberto","MPEG audio file",Rock,Music
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99,"Axé Bahia 2001","Bebel Gilberto","MPEG audio file",Rock,"90’s Music"
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995,0.99,"Axé Bahia 2001","Bebel Gilberto","MPEG audio file",Rock,Music
30,Amazing,"Steven Tyler, Richie Supa",356519,11616195,0.99,"BBC Sessions [Disc 1] [Live]","Jorge Vercilo","MPEG audio file",Rock,Music
30,Amazing,"Steven Tyler, Richie Supa",356519,11616195,0.99,"BBC Sessions [Disc 1] [Live]","Jorge Vercilo","MPEG audio file",Rock,"90’s Music"
30,Amazing,"Steven Tyler, Richie Supa",356519,11616195,0.99,"BBC Sessions [Disc 1] [Live]","Jorge Vercilo","MPEG audio file",Rock,Music
31,"Blind Man","Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99,"Bongo Fury","Baby Consuelo","MPEG audio file",Rock,Music
31,"Blind Man","Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99,"Bongo Fury","Baby Consuelo","MPEG audio file",Rock,"90’s Music"
31,"Blind Man","Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,0.99,"Bongo Fury","Baby Consuelo","MPEG audio file",Rock,Music
32,"Deuces Are Wild","Steven Tyler, Jim Vallance",215875,7074167,0.99,"Carnaval 2001","Ney Matogrosso","MPEG audio file",Rock,Music
